National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by state and  cip code: 2023-24"

,Total,Computer and Information Sciences and Support Services,Engineering?,Engineering Technologies and Engineering-related Fields
Total,"612,353","325,746","195,246","91,361"
Alabama,"10,813","3,348","3,533","3,932"
Alaska,314,97,118,99
Arizona,"17,698","10,552","5,039","2,107"
Arkansas,"4,578","2,314",878,"1,386"
California,"60,542","30,029","23,674","6,839"
Colorado,"11,964","5,796","4,874","1,294"
Connecticut,"5,494","2,588","2,255",651
Delaware,"2,339","1,623",647,69
District of Columbia,"2,324","1,558",587,179
Florida,"32,618","17,250","9,225","6,143"
Georgia,"21,325","13,473","5,909","1,943"
Hawaii,806,435,315,56
Idaho,"3,852","2,582",850,420
Illinois,"26,667","16,117","6,785","3,765"
Indiana,"21,767","11,975","6,194","3,598"
Iowa,"5,012","2,060","2,121",831
Kansas,"5,080","2,254","1,535","1,291"
Kentucky,"12,008","8,711","1,373","1,924"
Louisiana,"7,319","2,666","1,610","3,043"
Maine,"1,143",425,422,296
Maryland,"17,181","11,992","4,323",866
Massachusetts,"22,521","11,308","10,174","1,039"
Michigan,"18,407","7,044","8,253","3,110"
Minnesota,"8,026","4,503","2,099","1,424"
Mississippi,"3,919","1,360","1,417","1,142"
Missouri,"12,943","7,940","3,078","1,925"
Montana,"1,105",353,604,148
Nebraska,"2,928","1,838",620,470
Nevada,"2,653","1,634",702,317
New Hampshire,"6,585","5,598",801,186
New Jersey,"13,428","7,438","4,538","1,452"
New Mexico,"2,483",915,"1,018",550
New York,"36,648","20,091","12,591","3,966"
North Carolina,"21,247","11,807","5,404","4,036"
North Dakota,"1,376",370,662,344
Ohio,"21,204","8,696","7,803","4,705"
Oklahoma,"5,740","2,412","2,276","1,052"
Oregon,"5,519","2,757","2,091",671
Pennsylvania,"22,779","10,800","9,719","2,260"
Rhode Island,"1,902","1,011",750,141
South Carolina,"6,326","2,498","2,359","1,469"
South Dakota,"1,792",930,586,276
Tennessee,"7,313","3,342","2,317","1,654"
Texas,"50,301","24,909","16,033","9,359"
Utah,"17,472","13,560","2,949",963
Vermont,"1,164",788,321,55
Virginia,"17,286","9,374","5,167","2,745"
Washington,"11,629","6,855","3,085","1,689"
West Virginia,"3,477","1,992",772,713
Wisconsin,"8,695","4,221","3,270","1,204"
Wyoming,496,176,266,54
American Samoa,19,3,8,8
Federated States of Micronesia,40,14,N/A,26
Guam,71,61,4,6
Marshall Islands,0,N/A,N/A,0
Palau,7,7,N/A,N/A
Puerto Rico,"3,993","1,286","1,242","1,465"
Virgin Islands,15,10,N/A,5

"This table presents data collected from Title IV institutions in the United States. Prior to 2009-10, the data include only Title IV primarily postsecondary institutions."
<sup>1</sup> From 2002-03 through 2008-09 Materials Science was included under Engineering and Neuroscience was included under Multi/interdisciplinary studies.  Beginning in 2009-10 Materials Science is included in the Physical sciences and Neuroscience is included with Biology.  For more detail  on differences between CIP2000 (completion years 2001-02 to 2008-09) and CIP2010 (C2009-10 to the 2018-19) go to <a href=""https://nces.ed.gov/ipeds/cipcode/crosswalk.aspx?y=55"" target=""_blank"">https://nces.ed.gov/ipeds/cipcode/crosswalk.aspx?y=55</a>.
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Completions component final data (2001-02 - 2022-23) and provisional data (2023-24)."
