CIPCODE,AWLEVEL,YEAR
9.0999,3,2005
10.0105,3,2005
11.0101,3,2005
11.0401,3,2005
13.0499,3,2005
13.9999,3,2005
15.0303,3,2005
15.0401,3,2005
15.0599,3,2005
15.0611,3,2005
15.0699,3,2005
15.0701,3,2005
15.1001,3,2005
22.0302,3,2005
26.0999,3,2005
29.0101,3,2005
31.9999,3,2005
40.0401,3,2005
41.9999,3,2005
43.0104,3,2005
43.0203,3,2005
44.0701,3,2005
47.0,3,2005
47.0607,3,2005
47.0608,3,2005
47.0609,3,2005
47.0699,3,2005
49.0101,3,2005
49.0104,3,2005
49.9999,3,2005
50.0699,3,2005
50.0901,3,2005
51.0601,3,2005
51.0603,3,2005
51.0799,3,2005
51.0805,3,2005
51.0806,3,2005
51.0901,3,2005
51.0905,3,2005
51.0907,3,2005
51.0909,3,2005
51.091,3,2005
51.1004,3,2005
51.1007,3,2005
51.1502,3,2005
51.1803,3,2005
51.2202,3,2005
51.2206,3,2005
51.2299,3,2005
51.3199,3,2005
51.9999,3,2005
52.0202,3,2005
52.0203,3,2005
52.0204,3,2005
52.0302,3,2005
52.1001,3,2005
54.0105,3,2005
99.0,3,2005
1.0,5,2005
1.0102,7,2005
1.0103,5,2005
1.0901,5,2005
1.1001,5,2005
1.1001,7,2005
1.1199,7,2005
1.9999,5,2005
1.9999,9,2005
3.0599,5,2005
4.0301,5,2005
4.0301,7,2005
10.0202,5,2005
11.0101,5,2005
11.0101,7,2005
13.0401,7,2005
13.0401,8,2005
13.1001,5,2005
13.1001,7,2005
13.1012,5,2005
13.1202,5,2005
13.1202,7,2005
13.1202,8,2005
13.1205,5,2005
13.1205,6,2005
13.1205,7,2005
13.121,5,2005
13.121,7,2005
13.1302,7,2005
13.1312,5,2005
13.1314,5,2005
13.1314,7,2005
14.0801,5,2005
14.1001,5,2005
14.1901,5,2005
15.0399,5,2005
15.0612,5,2005
15.0612,7,2005
15.0899,5,2005
19.0101,5,2005
19.0101,7,2005
23.0101,5,2005
26.0101,5,2005
26.0101,7,2005
27.0101,5,2005
40.0501,5,2005
40.0801,5,2005
40.0801,7,2005
40.0899,9,2005
42.0101,5,2005
42.0201,7,2005
42.0601,7,2005
42.0601,8,2005
42.0901,7,2005
44.0701,5,2005
44.0701,7,2005
45.0601,5,2005
45.0601,7,2005
45.1001,5,2005
45.1101,5,2005
50.0701,5,2005
51.0203,7,2005
52.0201,5,2005
52.0201,7,2005
52.0301,5,2005
52.0801,5,2005
52.1401,5,2005
99.0,5,2005
99.0,6,2005
