State,Total,Computer and Information Sciences and Support Services,Engineering,Engineering Technologies and Engineering-related Fields
Total,612353.0,325746.0,195246.0,91361.0
Alabama,10813.0,3348.0,3533.0,3932.0
Alaska,314.0,97.0,118.0,99.0
Arizona,17698.0,10552.0,5039.0,2107.0
Arkansas,4578.0,2314.0,878.0,1386.0
California,60542.0,30029.0,23674.0,6839.0
Colorado,11964.0,5796.0,4874.0,1294.0
Connecticut,5494.0,2588.0,2255.0,651.0
Delaware,2339.0,1623.0,647.0,69.0
District of Columbia,2324.0,1558.0,587.0,179.0
Florida,32618.0,17250.0,9225.0,6143.0
Georgia,21325.0,13473.0,5909.0,1943.0
Hawaii,806.0,435.0,315.0,56.0
Idaho,3852.0,2582.0,850.0,420.0
Illinois,26667.0,16117.0,6785.0,3765.0
Indiana,21767.0,11975.0,6194.0,3598.0
Iowa,5012.0,2060.0,2121.0,831.0
Kansas,5080.0,2254.0,1535.0,1291.0
Kentucky,12008.0,8711.0,1373.0,1924.0
Louisiana,7319.0,2666.0,1610.0,3043.0
Maine,1143.0,425.0,422.0,296.0
Maryland,17181.0,11992.0,4323.0,866.0
Massachusetts,22521.0,11308.0,10174.0,1039.0
Michigan,18407.0,7044.0,8253.0,3110.0
Minnesota,8026.0,4503.0,2099.0,1424.0
Mississippi,3919.0,1360.0,1417.0,1142.0
Missouri,12943.0,7940.0,3078.0,1925.0
Montana,1105.0,353.0,604.0,148.0
Nebraska,2928.0,1838.0,620.0,470.0
Nevada,2653.0,1634.0,702.0,317.0
New Hampshire,6585.0,5598.0,801.0,186.0
New Jersey,13428.0,7438.0,4538.0,1452.0
New Mexico,2483.0,915.0,1018.0,550.0
New York,36648.0,20091.0,12591.0,3966.0
North Carolina,21247.0,11807.0,5404.0,4036.0
North Dakota,1376.0,370.0,662.0,344.0
Ohio,21204.0,8696.0,7803.0,4705.0
Oklahoma,5740.0,2412.0,2276.0,1052.0
Oregon,5519.0,2757.0,2091.0,671.0
Pennsylvania,22779.0,10800.0,9719.0,2260.0
Rhode Island,1902.0,1011.0,750.0,141.0
South Carolina,6326.0,2498.0,2359.0,1469.0
South Dakota,1792.0,930.0,586.0,276.0
Tennessee,7313.0,3342.0,2317.0,1654.0
Texas,50301.0,24909.0,16033.0,9359.0
Utah,17472.0,13560.0,2949.0,963.0
Vermont,1164.0,788.0,321.0,55.0
Virginia,17286.0,9374.0,5167.0,2745.0
Washington,11629.0,6855.0,3085.0,1689.0
West Virginia,3477.0,1992.0,772.0,713.0
Wisconsin,8695.0,4221.0,3270.0,1204.0
Wyoming,496.0,176.0,266.0,54.0
American Samoa,19.0,3.0,8.0,8.0
Federated States of Micronesia,40.0,14.0,0.0,26.0
Guam,71.0,61.0,4.0,6.0
Marshall Islands,0.0,0.0,0.0,0.0
Palau,7.0,7.0,0.0,0.0
Puerto Rico,3993.0,1286.0,1242.0,1465.0
Virgin Islands,15.0,10.0,0.0,5.0
"This table presents data collected from Title IV institutions in the United States. Prior to 2009-10, the data include only Title IV primarily postsecondary institutions.",0.0,0.0,0.0,0.0
"<sup>1</sup> From 2002-03 through 2008-09 Materials Science was included under Engineering and Neuroscience was included under Multi/interdisciplinary studies.  Beginning in 2009-10 Materials Science is included in the Physical sciences and Neuroscience is included with Biology.  For more detail  on differences between CIP2000 (completion years 2001-02 to 2008-09) and CIP2010 (C2009-10 to the 2018-19) go to <a href=""""https://nces.ed.gov/ipeds/cipcode/crosswalk.aspx?y=55"""" target=""""_blank"""">https://nces.ed.gov/ipeds/cipcode/crosswalk.aspx?y=55</a>.",0.0,0.0,0.0,0.0
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Completions component final data (2001-02 - 2022-23) and provisional data (2023-24).",0.0,0.0,0.0,0.0
