State,Total,Computer and Information Sciences and Support Services,Engineering,Engineering Technologies and Engineering-related Fields
AL,10813.0,3348.0,3533.0,3932.0
AK,314.0,97.0,118.0,99.0
AZ,17698.0,10552.0,5039.0,2107.0
AR,4578.0,2314.0,878.0,1386.0
CA,60542.0,30029.0,23674.0,6839.0
CO,11964.0,5796.0,4874.0,1294.0
CT,5494.0,2588.0,2255.0,651.0
DE,2339.0,1623.0,647.0,69.0
FL,32618.0,17250.0,9225.0,6143.0
GA,21325.0,13473.0,5909.0,1943.0
HI,806.0,435.0,315.0,56.0
ID,3852.0,2582.0,850.0,420.0
IL,26667.0,16117.0,6785.0,3765.0
IN,21767.0,11975.0,6194.0,3598.0
IA,5012.0,2060.0,2121.0,831.0
KS,5080.0,2254.0,1535.0,1291.0
KY,12008.0,8711.0,1373.0,1924.0
LA,7319.0,2666.0,1610.0,3043.0
ME,1143.0,425.0,422.0,296.0
MD,17181.0,11992.0,4323.0,866.0
MA,22521.0,11308.0,10174.0,1039.0
MI,18407.0,7044.0,8253.0,3110.0
MN,8026.0,4503.0,2099.0,1424.0
MS,3919.0,1360.0,1417.0,1142.0
MO,12943.0,7940.0,3078.0,1925.0
MT,1105.0,353.0,604.0,148.0
NE,2928.0,1838.0,620.0,470.0
NV,2653.0,1634.0,702.0,317.0
NH,6585.0,5598.0,801.0,186.0
NJ,13428.0,7438.0,4538.0,1452.0
NM,2483.0,915.0,1018.0,550.0
NY,36648.0,20091.0,12591.0,3966.0
NC,21247.0,11807.0,5404.0,4036.0
ND,1376.0,370.0,662.0,344.0
OH,21204.0,8696.0,7803.0,4705.0
OK,5740.0,2412.0,2276.0,1052.0
OR,5519.0,2757.0,2091.0,671.0
PA,22779.0,10800.0,9719.0,2260.0
RI,1902.0,1011.0,750.0,141.0
SC,6326.0,2498.0,2359.0,1469.0
SD,1792.0,930.0,586.0,276.0
TN,7313.0,3342.0,2317.0,1654.0
TX,50301.0,24909.0,16033.0,9359.0
UT,17472.0,13560.0,2949.0,963.0
VT,1164.0,788.0,321.0,55.0
VA,17286.0,9374.0,5167.0,2745.0
WA,11629.0,6855.0,3085.0,1689.0
WV,3477.0,1992.0,772.0,713.0
WI,8695.0,4221.0,3270.0,1204.0
WY,496.0,176.0,266.0,54.0
