CIPCODE,AWLEVEL,YEAR,Total Count,Description
11.0101,5,2000,5103,"Computer and Information Sciences, General"
14.0801,5,2000,1635,"Civil Engineering, General"
14.1001,5,2000,2357,"Electrical, Electronics and Communications Engineering"
14.1901,5,2000,2199,Mechanical Engineering
15.0201,5,2000,197,Civil Engineering Technology/Technician
15.0399,5,2000,262,"Electrical/Electronic Engineering Technologies/Technicians, Other"
15.0899,5,2000,96,"Mechanical Engineering Related Technologies/Technicians, Other"
11.0101,5,2000,5103,"Computer and Information Sciences, General"
14.0801,5,2000,1635,"Civil Engineering, General"
14.1001,5,2000,2357,"Electrical, Electronics and Communications Engineering"
14.1801,5,2000,361,Materials Engineering
14.1901,5,2000,2199,Mechanical Engineering
11.0101,5,2000,5103,"Computer and Information Sciences, General"
14.0701,5,2000,1089,Chemical Engineering
14.0801,5,2000,1635,"Civil Engineering, General"
14.0901,5,2000,1663,"Computer Engineering, General"
14.1001,5,2000,2357,"Electrical, Electronics and Communications Engineering"
14.1901,5,2000,2199,Mechanical Engineering
14.9999,5,2000,439,"Engineering, Other"
11.0101,5,2000,5103,"Computer and Information Sciences, General"
11.0401,5,2000,1907,Information Science/Studies
14.0101,5,2000,1013,"Engineering, General"
14.0701,5,2000,1089,Chemical Engineering
14.0801,5,2000,1635,"Civil Engineering, General"
14.1001,5,2000,2357,"Electrical, Electronics and Communications Engineering"
14.1901,5,2000,2199,Mechanical Engineering
11.0101,5,2000,5103,"Computer and Information Sciences, General"
11.0401,5,2000,1907,Information Science/Studies
14.1001,5,2000,2357,"Electrical, Electronics and Communications Engineering"
14.1401,5,2000,583,Environmental/Environmental Health Engineering
14.1801,5,2000,361,Materials Engineering
14.1901,5,2000,2199,Mechanical Engineering
11.0101,5,2000,5103,"Computer and Information Sciences, General"
14.1901,5,2000,2199,Mechanical Engineering
11.0101,5,2000,5103,"Computer and Information Sciences, General"
14.0101,5,2000,1013,"Engineering, General"
14.0501,5,2000,856,Biomedical/Medical Engineering
14.1201,5,2000,668,Engineering Physics
14.9999,5,2000,439,"Engineering, Other"
11.0101,5,2000,5103,"Computer and Information Sciences, General"
11.0101,5,2000,5103,"Computer and Information Sciences, General"
11.0401,5,2000,1907,Information Science/Studies
11.0701,5,2000,4890,Computer Science
11.0101,5,2000,5103,"Computer and Information Sciences, General"
11.0401,5,2000,1907,Information Science/Studies
11.0701,5,2000,4890,Computer Science
11.0101,5,2000,5103,"Computer and Information Sciences, General"
14.0701,5,2000,1089,Chemical Engineering
14.0801,5,2000,1635,"Civil Engineering, General"
14.0901,5,2000,1663,"Computer Engineering, General"
14.1001,5,2000,2357,"Electrical, Electronics and Communications Engineering"
14.1901,5,2000,2199,Mechanical Engineering
11.0401,5,2000,1907,Information Science/Studies
11.0101,5,2000,5103,"Computer and Information Sciences, General"
11.0401,5,2000,1907,Information Science/Studies
11.0101,5,2000,5103,"Computer and Information Sciences, General"
14.0101,5,2000,1013,"Engineering, General"
11.0201,5,2000,595,"Computer Programming/Programmer, General"
11.0401,5,2000,1907,Information Science/Studies
14.0101,5,2000,1013,"Engineering, General"
14.0801,5,2000,1635,"Civil Engineering, General"
14.1001,5,2000,2357,"Electrical, Electronics and Communications Engineering"
14.1401,5,2000,583,Environmental/Environmental Health Engineering
14.1901,5,2000,2199,Mechanical Engineering
11.0101,5,2000,5103,"Computer and Information Sciences, General"
14.0101,5,2000,1013,"Engineering, General"
11.0401,5,2000,1907,Information Science/Studies
11.0701,5,2000,4890,Computer Science
14.1001,5,2000,2357,"Electrical, Electronics and Communications Engineering"
11.0701,5,2000,4890,Computer Science
11.0101,5,2000,5103,"Computer and Information Sciences, General"
11.0101,5,2000,5103,"Computer and Information Sciences, General"
11.0101,5,2000,5103,"Computer and Information Sciences, General"
15.0201,5,2000,197,Civil Engineering Technology/Technician
